City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Thinadhoo,MV,0.5333,72.9333,82.76,75,68,18.25,broken clouds
80,Awjilah,LY,29.1081,21.2869,66.76,51,0,1.79,clear sky
81,Juazeiro,BR,-9.4117,-40.4986,89.78,27,0,6.91,clear sky
82,Mar Del Plata,AR,-38.0023,-57.5575,60.1,82,75,8.99,broken clouds
83,Barra,BR,-11.0894,-43.1417,84.92,40,39,3.87,scattered clouds
84,Chaman,PK,30.9236,66.4512,55.78,29,0,5.55,clear sky
85,Poya,NC,-21.35,165.15,79.29,58,3,0.76,clear sky
86,Ust-Maya,RU,60.4167,134.5333,-7.31,100,63,0.67,broken clouds
87,Toyoshina,JP,36.2999,137.9011,52.3,86,84,2.06,moderate rain
88,Narnaul,IN,28.0444,76.1083,69.55,30,0,2.86,clear sky
89,Sinnamary,GF,5.3833,-52.95,79.47,81,16,6.22,few clouds
90,Mercedes,AR,-34.6515,-59.4307,86.85,39,6,10.51,clear sky
91,Eyl,SO,7.9803,49.8164,76.98,81,82,10.22,light rain
92,Monrovia,LR,6.3005,-10.7969,76.77,87,98,3.4,moderate rain
93,Bondoukou,CI,8.0333,-2.8,74.17,83,87,2.39,overcast clouds
94,Maceio,BR,-9.6658,-35.7353,78.24,83,0,6.91,clear sky
95,Pitsunda,GE,43.1592,40.3378,56.71,56,2,3.96,clear sky
96,Emerald,AU,-23.5333,148.1667,82.98,20,29,18.41,scattered clouds
97,Bhuj,IN,23.2667,69.6667,75.04,29,54,3.4,broken clouds
98,Norman Wells,CA,65.282,-126.8329,19.44,93,90,3.44,fog
99,Cururupu,BR,-1.8283,-44.8683,75.76,88,26,3.18,scattered clouds
100,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,78,40,10.8,scattered clouds
101,Hilo,US,19.7297,-155.09,81.25,72,1,8.05,clear sky
102,Samarai,PG,-10.6167,150.6667,82.99,78,99,14.2,moderate rain
103,Kaitangata,NZ,-46.2817,169.8464,60.3,54,98,10.69,overcast clouds
104,Filotion,GR,37.05,25.5,61.56,75,19,1.99,few clouds
105,Araruna,BR,-6.5583,-35.7417,71.35,74,37,13.42,scattered clouds
106,Porto Torres,IT,40.835,8.3972,62.78,84,100,12.26,overcast clouds
107,Srednekolymsk,RU,67.45,153.6833,-6.77,97,100,5.55,overcast clouds
108,Guerrero Negro,MX,27.9769,-114.0611,74.68,52,0,12.62,clear sky
109,Tacuarembo,UY,-31.7333,-55.9833,74.55,76,50,7.36,scattered clouds
110,Kukmor,RU,56.1855,50.8944,43.36,96,100,8.1,overcast clouds
111,Punta Arenas,CL,-53.15,-70.9167,53.71,40,0,17.27,clear sky
112,Biberach,DE,48.0934,9.7905,49.89,97,94,1.14,overcast clouds
113,Rudbar,AF,30.15,62.6,66.11,25,3,6.44,clear sky
114,Kampene,CD,-3.6,26.6667,68.07,98,100,1.81,light rain
115,Boende,CD,-0.2167,20.8667,72.79,87,88,2.08,light rain
116,Atuona,PF,-9.8,-139.0333,78.01,65,5,14.79,clear sky
117,Riyadh,SA,24.6877,46.7219,73.54,40,21,5.66,few clouds
118,Takoradi,GH,4.8845,-1.7554,78.31,87,91,8.86,overcast clouds
119,Manyana,BW,-23.4,21.7167,71.06,19,0,10.42,clear sky
120,Niquelandia,BR,-14.4739,-48.4597,78.53,61,80,1.3,broken clouds
121,Cabo San Lucas,MX,22.8909,-109.9124,88.61,70,17,11.86,few clouds
122,Awbari,LY,26.5921,12.7805,70.0,29,0,5.75,clear sky
123,Pevek,RU,69.7008,170.3133,-3.03,96,100,10.63,overcast clouds
124,Mazagao,BR,-0.115,-51.2894,84.25,77,25,3.96,scattered clouds
125,Dandong,CN,40.1292,124.3947,52.3,87,100,3.94,overcast clouds
126,East Haddam,US,41.4532,-72.4612,59.7,97,90,0.0,moderate rain
127,Baruun-Urt,MN,46.6806,113.2792,20.52,39,18,2.98,few clouds
128,Vardo,NO,70.3705,31.1107,39.11,71,96,9.33,overcast clouds
129,Paciran,ID,-6.8767,112.3761,79.95,82,91,3.65,overcast clouds
130,Nome,US,64.5011,-165.4064,9.16,86,92,6.38,overcast clouds
131,Dakar,SN,14.6937,-17.4441,80.73,83,0,0.0,clear sky
132,Lipovtsy,RU,44.2014,131.7244,39.47,73,99,4.5,overcast clouds
133,Nishihara,JP,26.1842,127.7558,70.88,78,20,4.61,few clouds
134,Quatre Cocos,MU,-20.2078,57.7625,70.09,78,33,6.24,scattered clouds
135,Boysun,UZ,38.2061,67.1986,48.06,18,100,5.41,overcast clouds
136,Puerto Escondido,MX,15.85,-97.0667,83.34,75,84,5.53,broken clouds
137,Souillac,MU,-20.5167,57.5167,70.36,88,20,5.75,few clouds
138,Nouakchott,MR,18.0858,-15.9785,78.73,64,98,8.1,overcast clouds
139,Baoro,CF,5.6667,15.9667,69.73,86,38,1.74,scattered clouds
140,Zhuhai,CN,22.2769,113.5678,75.06,88,40,12.66,scattered clouds
141,Bada,RU,51.392,109.8717,26.24,50,20,3.47,few clouds
142,Qaanaaq,GL,77.484,-69.3632,2.73,53,0,8.55,clear sky
143,Husavik,IS,66.0449,-17.3389,39.11,89,100,17.78,overcast clouds
144,Agbor,NG,6.2518,6.1934,74.82,98,94,3.38,overcast clouds
145,Kavieng,PG,-2.5744,150.7967,83.37,76,63,13.49,light rain
146,East London,ZA,-33.0153,27.9116,64.53,84,80,6.85,broken clouds
147,Mahebourg,MU,-20.4081,57.7,70.25,88,20,5.75,few clouds
148,Airai,TL,-8.9266,125.4092,63.64,85,29,0.72,scattered clouds
149,Cabedelo,BR,-6.9811,-34.8339,79.47,71,11,16.22,few clouds
150,Beringovskiy,RU,63.05,179.3167,6.84,96,98,19.08,overcast clouds
151,Arlit,NE,18.7369,7.3853,83.03,19,34,11.79,scattered clouds
152,Tazovskiy,RU,67.4667,78.7,8.65,94,100,14.72,light snow
153,Gat,IL,31.61,34.7642,71.4,62,68,1.25,broken clouds
154,Zyryanka,RU,65.75,150.85,-0.2,93,100,5.46,overcast clouds
155,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,75,9.22,mist
156,Te Anau,NZ,-45.4167,167.7167,48.63,92,100,2.68,overcast clouds
157,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,75,9.22,broken clouds
158,Tasiilaq,GL,65.6145,-37.6368,19.2,65,91,5.14,overcast clouds
159,Naron,ES,43.5167,-8.1528,63.91,82,64,13.15,broken clouds
160,Kahului,US,20.8947,-156.47,85.26,60,20,12.66,few clouds
161,Bredasdorp,ZA,-34.5322,20.0403,58.28,94,67,2.3,broken clouds
162,Coquimbo,CL,-29.9533,-71.3436,60.53,77,20,8.05,few clouds
163,Ribeira Grande,PT,38.5167,-28.7,70.77,89,100,16.33,overcast clouds
164,Buckeye,US,33.3703,-112.5838,91.08,17,0,3.78,clear sky
165,Lorengau,PG,-2.0226,147.2712,83.07,78,92,7.54,overcast clouds
166,Morant Bay,JM,17.8815,-76.4093,85.62,83,55,6.13,broken clouds
167,Prince Rupert,CA,54.3161,-130.3201,46.09,73,89,2.3,overcast clouds
168,Meulaboh,ID,4.1363,96.1285,75.42,88,96,4.07,moderate rain
169,Kununurra,AU,-15.7667,128.7333,82.38,69,96,10.36,overcast clouds
170,Hohhot,CN,40.8106,111.6522,30.49,55,0,6.71,clear sky
171,Talnakh,RU,69.4865,88.3972,12.85,96,100,4.63,light snow
172,Pimampiro,EC,0.4,-77.9667,63.68,86,89,0.98,light rain
173,Batagay,RU,67.6333,134.6333,-8.3,99,70,3.56,broken clouds
174,Inirida,CO,3.8653,-67.9239,76.28,95,91,3.42,overcast clouds
175,Zanjan,IR,36.6736,48.4787,51.94,65,97,6.82,overcast clouds
176,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,20,5.75,few clouds
177,Winnipeg,CA,49.8844,-97.147,50.07,50,75,5.75,broken clouds
178,Khatanga,RU,71.9667,102.5,-4.68,99,79,1.63,broken clouds
179,Itaituba,BR,-4.2761,-55.9836,78.96,94,40,17.27,thunderstorm with heavy rain
180,Saint George,US,37.1041,-113.5841,84.67,31,1,1.99,clear sky
181,Olinda,BR,-8.0089,-34.8553,80.33,65,40,10.36,scattered clouds
182,Margate,GB,51.3813,1.3862,51.31,82,79,1.99,broken clouds
183,Biak,ID,-0.9131,122.8766,76.33,83,100,2.82,overcast clouds
184,Luau,AO,-10.7073,22.2247,65.39,85,100,2.66,overcast clouds
185,Tymovskoye,RU,50.8456,142.655,26.38,88,100,4.81,overcast clouds
186,Port-Gentil,GA,-0.7193,8.7815,75.16,88,90,11.5,thunderstorm with heavy rain
187,Alyangula,AU,-13.8483,136.4192,75.07,100,72,4.61,broken clouds
188,Uniao,BR,-4.5858,-42.8642,89.62,69,67,3.89,broken clouds
189,Kasongo-Lunda,CD,-6.4667,16.8167,70.54,96,100,0.89,overcast clouds
190,Coihaique,CL,-45.5752,-72.0662,60.75,21,0,13.8,clear sky
191,Longyearbyen,SJ,78.2186,15.6401,18.45,83,96,3.2,overcast clouds
192,Cherskiy,RU,68.75,161.3,-0.92,98,100,5.95,overcast clouds
193,Sakakah,SA,29.9697,40.2064,76.57,29,100,6.98,overcast clouds
194,Anadyr,RU,64.75,177.4833,1.9,84,90,15.01,snow
195,Lagos,NG,6.5833,3.75,82.72,88,100,4.76,overcast clouds
196,Tukrah,LY,32.5341,20.5791,69.8,70,78,18.05,broken clouds
197,Georgetown,MY,5.4112,100.3354,78.73,93,20,1.99,few clouds
198,Becerril,CO,9.7041,-73.2793,77.76,91,98,0.38,overcast clouds
199,Skjervoy,NO,70.0311,20.9714,40.95,69,100,8.21,overcast clouds
200,Ponta Do Sol,PT,32.6667,-17.1,72.72,74,39,6.44,scattered clouds
201,Iqaluit,CA,63.7506,-68.5145,37.13,69,75,11.01,broken clouds
202,Chicama,PE,-7.8447,-79.1469,63.14,70,31,8.75,scattered clouds
203,Namatanai,PG,-3.6667,152.4333,83.32,73,95,7.4,light rain
204,Kaseda,JP,31.4167,130.3167,60.03,85,79,7.67,broken clouds
205,Port Hawkesbury,CA,45.6169,-61.3485,49.95,86,90,5.01,overcast clouds
206,Esperance,AU,-33.8667,121.9,51.64,65,13,14.43,few clouds
207,San Patricio,US,28.017,-97.5169,87.03,18,0,2.42,clear sky
208,Geraldton,AU,-28.7667,114.6,50.41,87,0,8.05,clear sky
209,Sao Filipe,CV,14.8961,-24.4956,80.01,74,79,12.37,broken clouds
210,Mandalgovi,MN,45.7625,106.2708,27.14,78,22,7.16,few clouds
211,Moree,AU,-29.4667,149.85,55.42,58,0,5.75,clear sky
212,Sangar,RU,63.9242,127.4739,-11.92,95,50,5.99,scattered clouds
213,Nantucket,US,41.2835,-70.0995,62.71,91,100,28.63,moderate rain
214,Lerik,AZ,38.7726,48.4128,40.64,95,98,1.57,overcast clouds
215,Nanortalik,GL,60.1432,-45.2371,34.45,72,60,2.59,broken clouds
216,Katsuura,JP,35.1333,140.3,58.1,74,100,5.17,overcast clouds
217,Gornopravdinsk,RU,60.05,69.9,16.97,99,93,4.12,overcast clouds
218,Touros,BR,-5.1989,-35.4608,81.5,77,60,17.16,broken clouds
219,Srandakan,ID,-7.9386,110.2506,77.09,91,88,3.96,overcast clouds
220,Mayumba,GA,-3.432,10.6554,77.77,90,97,8.21,overcast clouds
221,Kozhva,RU,65.1073,57.0459,13.46,93,94,1.7,overcast clouds
222,Zavet,BG,43.7667,26.6667,45.05,86,0,6.46,clear sky
223,Qingdao,CN,36.0986,120.3719,53.2,94,29,6.71,mist
224,Sakhipur,BD,24.3,90.1833,78.67,70,2,5.73,clear sky
225,Faanui,PF,-16.4833,-151.75,78.17,69,15,15.5,few clouds
226,Mount Isa,AU,-20.7333,139.5,76.77,23,75,13.8,broken clouds
227,Tuatapere,NZ,-46.1333,167.6833,48.88,94,100,16.93,overcast clouds
228,Ilinskiy,RU,55.619,38.1182,45.37,87,0,4.47,clear sky
229,Creel,MX,27.75,-107.6333,65.28,25,0,14.2,clear sky
230,Bonavista,CA,48.6499,-53.1147,42.8,66,1,3.27,clear sky
231,Mount Pleasant,US,32.7941,-79.8626,62.74,74,20,1.01,few clouds
232,Grindavik,IS,63.8424,-22.4338,37.87,93,0,11.5,clear sky
233,Urumqi,CN,43.801,87.6005,41.95,65,0,4.47,light rain
234,Kenai,US,60.5544,-151.2583,44.15,85,90,16.11,moderate rain
235,Farafenni,GM,13.5667,-15.6,76.3,71,100,7.58,overcast clouds
236,Baykit,RU,61.67,96.37,16.5,85,99,10.69,overcast clouds
237,Lakatoro,VU,-16.0999,167.4164,82.51,67,3,8.32,clear sky
238,Bage,BR,-31.3314,-54.1069,82.18,57,0,11.5,clear sky
239,Chuy,UY,-33.6971,-53.4616,66.6,85,68,12.86,broken clouds
240,Karratha,AU,-20.7377,116.8463,72.84,68,0,4.41,clear sky
241,Sambava,MG,-14.2667,50.1667,74.28,87,84,7.94,light rain
242,Bac Lieu,VN,9.285,105.7244,79.57,86,78,11.21,broken clouds
243,Pandan,PH,14.0453,124.1694,79.59,77,100,13.04,overcast clouds
244,Henties Bay,NA,-22.116,14.2845,56.86,90,0,4.9,clear sky
245,Kalengwa,ZM,-13.4659,25.0027,75.79,40,96,3.47,overcast clouds
246,San Juan Bautista,PE,-14.0108,-75.7358,61.43,48,5,12.95,clear sky
247,Launceston,AU,-41.45,147.1667,55.8,79,12,13.8,few clouds
248,Ciudad Bolivar,VE,8.1222,-63.5497,81.07,76,82,6.46,broken clouds
249,Chapais,CA,49.7834,-74.8492,51.58,65,95,7.58,overcast clouds
250,Vanavara,RU,60.34,102.2797,21.9,64,81,10.09,broken clouds
251,Nuuk,GL,64.1835,-51.7216,32.88,86,85,32.01,overcast clouds
252,Ouro Fino,BR,-22.2831,-46.3692,66.31,89,93,4.23,overcast clouds
253,Sagurong,PH,13.7805,122.9594,78.03,81,97,11.3,overcast clouds
254,La Romana,DO,18.4273,-68.9728,86.36,74,40,9.22,scattered clouds
255,Dudinka,RU,69.4058,86.1778,10.24,96,100,4.5,light snow
256,Lata,PT,40.1629,-8.3327,67.93,98,100,4.36,overcast clouds
257,Mombetsu,JP,44.3525,143.3525,43.68,62,99,4.16,overcast clouds
258,Deputatskiy,RU,69.3,139.9,-8.27,98,98,5.17,overcast clouds
259,Iranshahr,IR,27.2025,60.6848,71.94,24,0,6.91,clear sky
260,Never,FR,46.9896,3.159,55.15,97,89,5.26,overcast clouds
261,Arrecife,ES,28.963,-13.5477,69.87,77,0,8.05,clear sky
262,Namibe,AO,-15.1961,12.1522,67.03,76,68,9.13,broken clouds
263,La Ronge,CA,55.1001,-105.2842,37.65,60,90,12.66,overcast clouds
264,Thompson,CA,55.7435,-97.8558,37.56,75,90,9.22,overcast clouds
265,Firminy,FR,45.3873,4.2907,59.5,67,90,5.75,overcast clouds
266,Laramie,US,41.3114,-105.5911,59.09,29,98,7.0,overcast clouds
267,Oga,IT,46.4631,10.347,39.88,94,100,4.34,overcast clouds
268,Provideniya,RU,64.3833,-173.3,14.09,76,89,10.33,overcast clouds
269,Liverpool,GB,53.4106,-2.9779,48.69,87,0,5.01,clear sky
270,Komsomolskiy,UZ,40.4272,71.7189,45.82,65,100,9.22,overcast clouds
271,Saint-Joseph,RE,-21.3667,55.6167,68.38,81,65,1.54,broken clouds
272,San Cristobal,VE,7.7669,-72.225,68.18,96,99,2.33,light rain
273,Yumen,CN,40.2833,97.2,36.9,48,58,6.4,broken clouds
274,Kashmor,PK,28.4333,69.5833,76.91,14,0,6.67,clear sky
275,Garachine,PA,8.0647,-78.3628,79.5,81,92,10.78,overcast clouds
276,Haines Junction,CA,60.7522,-137.5108,42.75,49,100,10.36,overcast clouds
277,Hobyo,SO,5.3505,48.5268,79.95,68,8,14.12,clear sky
278,Nongstoin,IN,25.5167,91.2667,53.37,74,0,2.82,clear sky
279,Loandjili,CG,-4.7561,11.8578,77.88,86,100,8.28,overcast clouds
280,Severo-Kurilsk,RU,50.6789,156.125,41.07,83,83,12.06,broken clouds
281,Zharkent,KZ,44.1628,80.0,43.81,78,96,2.68,overcast clouds
282,Maniitsoq,GL,65.4167,-52.9,35.49,97,100,27.0,light rain
283,Tura,IN,25.5198,90.2201,63.1,65,0,3.22,clear sky
284,Lasa,IT,46.6166,10.7002,48.94,87,100,2.8,overcast clouds
285,Santa Cruz,BO,-17.8,-63.1667,90.86,51,75,14.97,broken clouds
286,Hudiksvall,SE,61.729,17.1036,44.87,91,100,3.78,overcast clouds
287,Beyneu,KZ,45.3167,55.2,49.01,67,3,3.74,clear sky
288,Marsa Matruh,EG,31.3525,27.2453,68.2,88,0,0.0,clear sky
289,Svetlogorsk,BY,52.6333,29.7333,42.84,79,29,9.28,scattered clouds
290,Hambantota,LK,6.1241,81.1185,78.53,85,80,4.54,broken clouds
