City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lavrentiya,RU,2021-10-28 21:07:56,65.5833,-171.0,16.47,83,100,7.05
68,Kavieng,PG,2021-10-28 21:07:56,-2.5744,150.7967,83.43,74,74,9.31
69,Alpena,US,2021-10-28 21:07:57,45.0617,-83.4327,54.18,72,1,5.01
70,Atuona,PF,2021-10-28 21:07:57,-9.8,-139.0333,78.28,71,1,17.29
71,Provideniya,RU,2021-10-28 21:07:57,64.3833,-173.3,15.91,67,90,8.95
72,Tuy Hoa,VN,2021-10-28 21:05:55,13.0833,109.3,75.97,92,100,4.32
73,Bengkulu,ID,2021-10-28 21:07:58,-3.8004,102.2655,77.14,85,100,3.02
74,Sampit,ID,2021-10-28 21:07:59,-2.5333,112.95,73.36,99,100,2.33
75,Saint-Louis,SN,2021-10-28 21:07:59,16.3333,-15.0,90.21,28,80,1.68
76,Isangel,VU,2021-10-28 21:07:47,-19.55,169.2667,78.62,79,35,10.0
77,Ulaanbaatar,MN,2021-10-28 21:08:00,47.9077,106.8832,26.73,80,0,11.18
78,Puerto Ayora,EC,2021-10-28 21:06:13,-0.7393,-90.3518,78.76,90,30,5.01
79,Arua,UG,2021-10-28 21:08:01,3.0201,30.9111,64.45,88,59,0.87
80,Lagoa,PT,2021-10-28 21:03:08,39.05,-27.9833,67.37,80,92,16.58
81,Nemuro,JP,2021-10-28 21:08:02,43.3236,145.575,50.16,78,32,23.91
82,Hermanus,ZA,2021-10-28 21:06:39,-34.4187,19.2345,61.9,90,8,7.99
83,Jurm,AF,2021-10-28 21:08:03,36.8648,70.8342,43.75,88,100,2.42
84,Brae,GB,2021-10-28 21:03:11,60.3964,-1.353,51.71,86,100,4.09
85,Vesyegonsk,RU,2021-10-28 21:08:03,58.664,37.2604,35.44,87,100,4.94
86,Hobart,AU,2021-10-28 21:05:28,-42.8794,147.3294,48.06,93,75,5.01
87,Aligudarz,IR,2021-10-28 21:08:04,33.4006,49.6949,46.69,37,0,4.07
88,Hofn,IS,2021-10-28 21:03:12,64.2539,-15.2082,42.71,89,100,14.76
89,Leningradskiy,RU,2021-10-28 21:08:05,69.3833,178.4167,4.26,90,100,7.47
90,Pitelino,RU,2021-10-28 21:08:05,54.5777,41.8145,42.53,76,100,13.73
91,Bathsheba,BB,2021-10-28 21:08:05,13.2167,-59.5167,83.01,69,20,11.5
92,Deputatskiy,RU,2021-10-28 21:08:06,69.3,139.9,4.46,98,100,1.77
93,Tuatapere,NZ,2021-10-28 21:08:01,-46.1333,167.6833,59.32,74,69,4.9
94,Ribeira Brava,PT,2021-10-28 21:05:07,32.65,-17.0667,69.71,75,58,7.2
95,Macouria,GF,2021-10-28 21:08:07,4.9167,-52.3667,84.15,77,0,1.01
96,Takoradi,GH,2021-10-28 21:08:07,4.8845,-1.7554,78.87,85,63,4.7
97,Lebu,CL,2021-10-28 21:08:08,-37.6167,-73.65,56.7,81,1,14.61
98,Calvinia,ZA,2021-10-28 21:08:08,-31.4707,19.776,59.18,75,24,6.33
99,Vila Velha,BR,2021-10-28 21:05:02,-20.3297,-40.2925,76.95,78,20,8.05
100,Goderich,CA,2021-10-28 21:08:09,43.7501,-81.7165,56.91,65,100,19.69
101,Aklavik,CA,2021-10-28 21:08:09,68.2191,-135.0107,27.32,94,68,5.01
102,Hilo,US,2021-10-28 21:03:18,19.7297,-155.09,82.13,71,20,11.5
103,Pekan,MY,2021-10-28 21:08:10,3.4836,103.3996,77.81,87,99,1.12
104,Gizo,SB,2021-10-28 21:08:10,-8.103,156.8419,83.82,69,42,6.31
105,Ippy,CF,2021-10-28 21:08:11,6.2679,21.2247,69.73,97,100,4.27
106,Kieta,PG,2021-10-28 21:08:11,-6.2167,155.6333,82.29,75,57,3.42
107,Saint Anthony,US,2021-10-28 21:08:12,45.0205,-93.218,49.3,92,90,1.99
108,Airai,TL,2021-10-28 21:07:24,-8.9266,125.4092,61.23,83,98,2.06
109,Wichita Falls,US,2021-10-28 21:06:53,33.9137,-98.4934,72.66,20,1,11.99
110,Sao Filipe,CV,2021-10-28 21:08:13,14.8961,-24.4956,78.55,81,100,14.88
111,Castelldefels,ES,2021-10-28 21:08:13,41.2779,1.9703,62.15,90,20,5.75
112,Dikson,RU,2021-10-28 21:08:13,73.5069,80.5464,8.67,92,100,9.48
113,General Roca,AR,2021-10-28 21:08:14,-39.0333,-67.5833,90.59,17,11,7.27
114,Sao Bartolomeu De Messines,PT,2021-10-28 21:08:14,37.2602,-8.2867,62.62,92,100,2.46
115,Port Blair,IN,2021-10-28 21:08:15,11.6667,92.75,80.71,80,51,9.35
116,Gedo,ET,2021-10-28 21:08:15,9.0167,37.45,50.27,57,96,3.8
117,Caravelas,BR,2021-10-28 21:08:16,-17.7125,-39.2481,74.91,70,6,7.27
118,Damaturu,NG,2021-10-28 21:08:16,11.747,11.9608,82.78,17,11,7.2
119,Dingle,PH,2021-10-28 21:08:16,10.9995,122.6711,74.82,92,88,6.78
120,Koslan,RU,2021-10-28 21:08:17,63.4564,48.8989,22.1,90,51,7.25
121,Clyde River,CA,2021-10-28 21:08:17,70.4692,-68.5914,29.84,95,100,4.54
122,Oum Hadjer,TD,2021-10-28 21:08:18,13.2954,19.6966,87.22,18,16,9.01
123,Hambantota,LK,2021-10-28 21:07:29,6.1241,81.1185,78.69,83,92,4.34
124,Bredasdorp,ZA,2021-10-28 21:08:18,-34.5322,20.0403,55.27,92,27,4.29
125,Bubaque,GW,2021-10-28 21:08:19,11.2833,-15.8333,81.18,77,45,12.12
126,Missouri City,US,2021-10-28 21:08:19,29.6186,-95.5377,79.0,26,1,8.01
127,Cape Town,ZA,2021-10-28 21:08:20,-33.9258,18.4232,63.09,75,17,1.99
128,Bethel,US,2021-10-28 21:07:38,41.3712,-73.414,57.42,70,75,4.61
129,Arraial Do Cabo,BR,2021-10-28 21:07:52,-22.9661,-42.0278,73.26,94,75,14.97
130,Ilulissat,GL,2021-10-28 21:05:23,69.2167,-51.1,26.62,63,75,12.66
131,Maketu,NZ,2021-10-28 21:08:21,-37.7667,176.45,64.02,100,82,4.18
132,Olafsvik,IS,2021-10-28 21:08:21,64.8945,-23.7142,41.79,91,82,33.15
133,Rabo De Peixe,PT,2021-10-28 21:08:22,37.8,-25.5833,67.51,88,20,10.36
134,Agapovka,RU,2021-10-28 21:08:23,53.2973,59.1348,36.61,73,100,14.9
135,Longyearbyen,SJ,2021-10-28 21:08:23,78.2186,15.6401,19.24,68,0,5.75
136,Muroto,JP,2021-10-28 21:08:23,33.2833,134.15,61.2,60,0,16.49
137,Aykhal,RU,2021-10-28 21:08:24,66.0,111.5,3.72,95,100,18.05
138,Sargatskoye,RU,2021-10-28 21:08:25,55.6101,73.4972,35.74,57,34,16.37
139,Yellowknife,CA,2021-10-28 21:06:33,62.456,-114.3525,36.41,99,100,2.62
140,Port Moresby,PG,2021-10-28 21:08:25,-9.4431,147.1797,77.99,84,75,4.88
141,Tonj,SS,2021-10-28 21:08:26,7.2737,28.6822,75.2,74,48,3.29
142,Norrtalje,SE,2021-10-28 21:08:26,59.758,18.705,54.43,84,100,12.93
143,Rancho Cucamonga,US,2021-10-28 21:08:27,34.1064,-117.5931,93.22,22,1,3.0
144,Harper,LR,2021-10-28 21:08:27,4.375,-7.7169,78.22,84,96,5.82
145,Saint-Pierre,RE,2021-10-28 21:08:28,-21.3393,55.4781,73.08,69,75,5.75
146,Kupang,ID,2021-10-28 21:08:28,-10.1667,123.5833,80.02,83,94,4.88
147,Cairns,AU,2021-10-28 21:08:28,-16.9167,145.7667,76.95,83,37,9.22
148,Taltal,CL,2021-10-28 21:08:29,-25.4,-70.4833,66.94,60,22,3.6
149,Aguimes,ES,2021-10-28 21:08:29,27.9054,-15.4461,67.66,61,20,10.36
150,Marsa Matruh,EG,2021-10-28 21:08:30,31.3525,27.2453,71.64,83,2,6.6
151,Lapeer,US,2021-10-28 21:08:30,43.0514,-83.3188,60.58,58,1,5.75
152,Bambous Virieux,MU,2021-10-28 21:06:37,-20.3428,57.7575,75.22,76,2,9.93
153,Plerin,FR,2021-10-28 21:08:31,48.5425,-2.7798,60.57,86,75,7.0
154,Magadan,RU,2021-10-28 21:08:32,59.5667,150.8,26.04,96,92,5.61
155,Chapais,CA,2021-10-28 21:08:32,49.7834,-74.8492,45.93,49,0,5.06
156,Umba,RU,2021-10-28 21:08:32,66.6871,34.3429,32.05,97,100,20.33
157,Lerik,AZ,2021-10-28 21:08:33,38.7726,48.4128,28.04,56,2,2.93
158,Pacocha,PE,2021-10-28 21:08:33,-17.5833,-71.3333,66.34,68,0,4.61
159,Ilhabela,BR,2021-10-28 21:08:34,-23.7781,-45.3581,70.45,94,100,5.73
